"conf_cases","weekdate","week","year"
5,1990-05-14,20,1990
3,1990-05-21,21,1990
7,1990-05-28,22,1990
2,1990-06-04,23,1990
4,1990-06-11,24,1990
6,1990-06-18,25,1990
12,1990-06-25,26,1990
5,1990-07-02,27,1990
10,1990-07-09,28,1990
5,1990-07-16,29,1990
8,1990-07-23,30,1990
21,1990-07-30,31,1990
41,1990-08-06,32,1990
43,1990-08-13,33,1990
47,1990-08-20,34,1990
46,1990-08-27,35,1990
50,1990-09-03,36,1990
55,1990-09-10,37,1990
69,1990-09-17,38,1990
56,1990-09-24,39,1990
69,1990-10-01,40,1990
70,1990-10-08,41,1990
83,1990-10-15,42,1990
71,1990-10-22,43,1990
91,1990-10-29,44,1990
135,1990-11-05,45,1990
84,1990-11-12,46,1990
91,1990-11-19,47,1990
100,1990-11-26,48,1990
96,1990-12-03,49,1990
64,1990-12-10,50,1990
53,1990-12-17,51,1990
42,1990-12-24,52,1990
34,1991-01-01,1,1991
38,1991-01-08,2,1991
42,1991-01-15,3,1991
34,1991-01-22,4,1991
44,1991-01-29,5,1991
24,1991-02-05,6,1991
21,1991-02-12,7,1991
25,1991-02-19,8,1991
20,1991-02-26,9,1991
22,1991-03-05,10,1991
23,1991-03-12,11,1991
19,1991-03-19,12,1991
21,1991-03-26,13,1991
20,1991-04-02,14,1991
15,1991-04-09,15,1991
26,1991-04-16,16,1991
16,1991-04-23,17,1991
19,1991-04-30,18,1991
15,1991-05-07,19,1991
17,1991-05-14,20,1991
14,1991-05-21,21,1991
17,1991-05-28,22,1991
22,1991-06-04,23,1991
22,1991-06-11,24,1991
16,1991-06-18,25,1991
18,1991-06-25,26,1991
20,1991-07-02,27,1991
18,1991-07-09,28,1991
22,1991-07-16,29,1991
25,1991-07-23,30,1991
34,1991-07-30,31,1991
68,1991-08-06,32,1991
73,1991-08-13,33,1991
86,1991-08-20,34,1991
82,1991-08-27,35,1991
80,1991-09-03,36,1991
80,1991-09-10,37,1991
109,1991-09-17,38,1991
119,1991-09-24,39,1991
172,1991-10-01,40,1991
137,1991-10-08,41,1991
178,1991-10-15,42,1991
164,1991-10-22,43,1991
172,1991-10-29,44,1991
179,1991-11-05,45,1991
160,1991-11-12,46,1991
172,1991-11-19,47,1991
203,1991-11-26,48,1991
183,1991-12-03,49,1991
130,1991-12-10,50,1991
88,1991-12-17,51,1991
80,1991-12-24,52,1991
74,1992-01-01,1,1992
111,1992-01-08,2,1992
106,1992-01-15,3,1992
104,1992-01-22,4,1992
59,1992-01-29,5,1992
55,1992-02-05,6,1992
67,1992-02-12,7,1992
45,1992-02-19,8,1992
48,1992-02-26,9,1992
75,1992-03-04,10,1992
50,1992-03-11,11,1992
43,1992-03-18,12,1992
33,1992-03-25,13,1992
34,1992-04-01,14,1992
35,1992-04-08,15,1992
34,1992-04-15,16,1992
34,1992-04-22,17,1992
36,1992-04-29,18,1992
35,1992-05-06,19,1992
34,1992-05-13,20,1992
33,1992-05-20,21,1992
36,1992-05-27,22,1992
30,1992-06-03,23,1992
42,1992-06-10,24,1992
53,1992-06-17,25,1992
46,1992-06-24,26,1992
58,1992-07-01,27,1992
53,1992-07-08,28,1992
55,1992-07-15,29,1992
66,1992-07-22,30,1992
76,1992-07-29,31,1992
76,1992-08-05,32,1992
61,1992-08-12,33,1992
106,1992-08-19,34,1992
97,1992-08-26,35,1992
98,1992-09-02,36,1992
94,1992-09-09,37,1992
100,1992-09-16,38,1992
86,1992-09-23,39,1992
85,1992-09-30,40,1992
81,1992-10-07,41,1992
108,1992-10-14,42,1992
91,1992-10-21,43,1992
87,1992-10-28,44,1992
107,1992-11-04,45,1992
77,1992-11-11,46,1992
67,1992-11-18,47,1992
95,1992-11-25,48,1992
92,1992-12-02,49,1992
76,1992-12-09,50,1992
79,1992-12-16,51,1992
71,1992-12-23,52,1992
65,1993-01-01,1,1993
67,1993-01-08,2,1993
58,1993-01-15,3,1993
62,1993-01-22,4,1993
66,1993-01-29,5,1993
70,1993-02-05,6,1993
50,1993-02-12,7,1993
31,1993-02-19,8,1993
25,1993-02-26,9,1993
32,1993-03-05,10,1993
31,1993-03-12,11,1993
21,1993-03-19,12,1993
15,1993-03-26,13,1993
15,1993-04-02,14,1993
10,1993-04-09,15,1993
17,1993-04-16,16,1993
16,1993-04-23,17,1993
20,1993-04-30,18,1993
27,1993-05-07,19,1993
14,1993-05-14,20,1993
15,1993-05-21,21,1993
28,1993-05-28,22,1993
36,1993-06-04,23,1993
15,1993-06-11,24,1993
25,1993-06-18,25,1993
22,1993-06-25,26,1993
35,1993-07-02,27,1993
29,1993-07-09,28,1993
30,1993-07-16,29,1993
40,1993-07-23,30,1993
37,1993-07-30,31,1993
26,1993-08-06,32,1993
39,1993-08-13,33,1993
40,1993-08-20,34,1993
23,1993-08-27,35,1993
40,1993-09-03,36,1993
44,1993-09-10,37,1993
38,1993-09-17,38,1993
35,1993-09-24,39,1993
49,1993-10-01,40,1993
44,1993-10-08,41,1993
57,1993-10-15,42,1993
69,1993-10-22,43,1993
75,1993-10-29,44,1993
76,1993-11-05,45,1993
79,1993-11-12,46,1993
59,1993-11-19,47,1993
49,1993-11-26,48,1993
64,1993-12-03,49,1993
39,1993-12-10,50,1993
53,1993-12-17,51,1993
44,1993-12-24,52,1993
32,1994-01-01,1,1994
47,1994-01-08,2,1994
39,1994-01-15,3,1994
51,1994-01-22,4,1994
51,1994-01-29,5,1994
48,1994-02-05,6,1994
34,1994-02-12,7,1994
41,1994-02-19,8,1994
45,1994-02-26,9,1994
37,1994-03-05,10,1994
34,1994-03-12,11,1994
33,1994-03-19,12,1994
21,1994-03-26,13,1994
32,1994-04-02,14,1994
23,1994-04-09,15,1994
22,1994-04-16,16,1994
20,1994-04-23,17,1994
22,1994-04-30,18,1994
26,1994-05-07,19,1994
13,1994-05-14,20,1994
35,1994-05-21,21,1994
50,1994-05-28,22,1994
49,1994-06-04,23,1994
56,1994-06-11,24,1994
61,1994-06-18,25,1994
102,1994-06-25,26,1994
132,1994-07-02,27,1994
109,1994-07-09,28,1994
107,1994-07-16,29,1994
124,1994-07-23,30,1994
165,1994-07-30,31,1994
139,1994-08-06,32,1994
133,1994-08-13,33,1994
170,1994-08-20,34,1994
144,1994-08-27,35,1994
197,1994-09-03,36,1994
142,1994-09-10,37,1994
187,1994-09-17,38,1994
208,1994-09-24,39,1994
214,1994-10-01,40,1994
252,1994-10-08,41,1994
292,1994-10-15,42,1994
222,1994-10-22,43,1994
169,1994-10-29,44,1994
165,1994-11-05,45,1994
141,1994-11-12,46,1994
214,1994-11-19,47,1994
202,1994-11-26,48,1994
184,1994-12-03,49,1994
150,1994-12-10,50,1994
115,1994-12-17,51,1994
111,1994-12-24,52,1994
115,1995-01-01,1,1995
95,1995-01-08,2,1995
98,1995-01-15,3,1995
92,1995-01-22,4,1995
56,1995-01-29,5,1995
57,1995-02-05,6,1995
39,1995-02-12,7,1995
31,1995-02-19,8,1995
21,1995-02-26,9,1995
35,1995-03-05,10,1995
13,1995-03-12,11,1995
27,1995-03-19,12,1995
23,1995-03-26,13,1995
20,1995-04-02,14,1995
21,1995-04-09,15,1995
10,1995-04-16,16,1995
8,1995-04-23,17,1995
10,1995-04-30,18,1995
10,1995-05-07,19,1995
9,1995-05-14,20,1995
13,1995-05-21,21,1995
13,1995-05-28,22,1995
28,1995-06-04,23,1995
21,1995-06-11,24,1995
38,1995-06-18,25,1995
45,1995-06-25,26,1995
30,1995-07-02,27,1995
27,1995-07-09,28,1995
32,1995-07-16,29,1995
30,1995-07-23,30,1995
52,1995-07-30,31,1995
59,1995-08-06,32,1995
57,1995-08-13,33,1995
47,1995-08-20,34,1995
37,1995-08-27,35,1995
43,1995-09-03,36,1995
62,1995-09-10,37,1995
56,1995-09-17,38,1995
47,1995-09-24,39,1995
57,1995-10-01,40,1995
48,1995-10-08,41,1995
53,1995-10-15,42,1995
63,1995-10-22,43,1995
68,1995-10-29,44,1995
58,1995-11-05,45,1995
43,1995-11-12,46,1995
50,1995-11-19,47,1995
38,1995-11-26,48,1995
33,1995-12-03,49,1995
27,1995-12-10,50,1995
26,1995-12-17,51,1995
27,1995-12-24,52,1995
34,1996-01-01,1,1996
25,1996-01-08,2,1996
40,1996-01-15,3,1996
26,1996-01-22,4,1996
35,1996-01-29,5,1996
34,1996-02-05,6,1996
24,1996-02-12,7,1996
21,1996-02-19,8,1996
26,1996-02-26,9,1996
24,1996-03-04,10,1996
19,1996-03-11,11,1996
12,1996-03-18,12,1996
20,1996-03-25,13,1996
11,1996-04-01,14,1996
17,1996-04-08,15,1996
15,1996-04-15,16,1996
10,1996-04-22,17,1996
8,1996-04-29,18,1996
9,1996-05-06,19,1996
6,1996-05-13,20,1996
4,1996-05-20,21,1996
13,1996-05-27,22,1996
2,1996-06-03,23,1996
8,1996-06-10,24,1996
9,1996-06-17,25,1996
14,1996-06-24,26,1996
19,1996-07-01,27,1996
22,1996-07-08,28,1996
20,1996-07-15,29,1996
30,1996-07-22,30,1996
36,1996-07-29,31,1996
34,1996-08-05,32,1996
50,1996-08-12,33,1996
56,1996-08-19,34,1996
53,1996-08-26,35,1996
41,1996-09-02,36,1996
56,1996-09-09,37,1996
68,1996-09-16,38,1996
64,1996-09-23,39,1996
56,1996-09-30,40,1996
66,1996-10-07,41,1996
60,1996-10-14,42,1996
61,1996-10-21,43,1996
90,1996-10-28,44,1996
77,1996-11-04,45,1996
69,1996-11-11,46,1996
72,1996-11-18,47,1996
76,1996-11-25,48,1996
50,1996-12-02,49,1996
68,1996-12-09,50,1996
60,1996-12-16,51,1996
50,1996-12-23,52,1996
40,1997-01-01,1,1997
45,1997-01-08,2,1997
59,1997-01-15,3,1997
35,1997-01-22,4,1997
46,1997-01-29,5,1997
30,1997-02-05,6,1997
28,1997-02-12,7,1997
29,1997-02-19,8,1997
28,1997-02-26,9,1997
23,1997-03-05,10,1997
16,1997-03-12,11,1997
13,1997-03-19,12,1997
16,1997-03-26,13,1997
14,1997-04-02,14,1997
12,1997-04-09,15,1997
22,1997-04-16,16,1997
16,1997-04-23,17,1997
11,1997-04-30,18,1997
13,1997-05-07,19,1997
15,1997-05-14,20,1997
6,1997-05-21,21,1997
10,1997-05-28,22,1997
16,1997-06-04,23,1997
10,1997-06-11,24,1997
12,1997-06-18,25,1997
16,1997-06-25,26,1997
15,1997-07-02,27,1997
16,1997-07-09,28,1997
15,1997-07-16,29,1997
10,1997-07-23,30,1997
37,1997-07-30,31,1997
30,1997-08-06,32,1997
32,1997-08-13,33,1997
53,1997-08-20,34,1997
60,1997-08-27,35,1997
93,1997-09-03,36,1997
80,1997-09-10,37,1997
64,1997-09-17,38,1997
63,1997-09-24,39,1997
64,1997-10-01,40,1997
88,1997-10-08,41,1997
87,1997-10-15,42,1997
127,1997-10-22,43,1997
135,1997-10-29,44,1997
103,1997-11-05,45,1997
75,1997-11-12,46,1997
71,1997-11-19,47,1997
77,1997-11-26,48,1997
84,1997-12-03,49,1997
100,1997-12-10,50,1997
92,1997-12-17,51,1997
92,1997-12-24,52,1997
93,1998-01-01,1,1998
94,1998-01-08,2,1998
97,1998-01-15,3,1998
79,1998-01-22,4,1998
100,1998-01-29,5,1998
117,1998-02-05,6,1998
124,1998-02-12,7,1998
99,1998-02-19,8,1998
81,1998-02-26,9,1998
106,1998-03-05,10,1998
71,1998-03-12,11,1998
76,1998-03-19,12,1998
67,1998-03-26,13,1998
64,1998-04-02,14,1998
64,1998-04-09,15,1998
50,1998-04-16,16,1998
67,1998-04-23,17,1998
68,1998-04-30,18,1998
66,1998-05-07,19,1998
71,1998-05-14,20,1998
75,1998-05-21,21,1998
83,1998-05-28,22,1998
97,1998-06-04,23,1998
118,1998-06-11,24,1998
131,1998-06-18,25,1998
153,1998-06-25,26,1998
188,1998-07-02,27,1998
192,1998-07-09,28,1998
